row_type,indicator,indicator_label,config_id,params,corridor,eligible_days,signals,hits,hit_rate,baseline_hit_rate,raw_lift,same_week_lift,signals_per_week,mean_regret_bps,verdict,verdict_reason
family_union,level_percentile,Уровень: нижние проценты диапазона,preregistered_family_union,all preregistered grid configurations; union of dates,UZS,1146.0,518,162,0.3127413127413127,0.39790575916230364,0.7859682991261939,1.0615989515072082,2.2082825822168086,177.1645141274405,conditional_timing_only,Не самостоятельный триггер: raw lift ниже 1 минимум на четырёх коридорах; условный same-week эффект можно использовать только как признак модели.
family_union,momentum_streak,Моментум: N дней подряд вниз,preregistered_family_union,all preregistered grid configurations; union of dates,UZS,1146.0,321,103,0.32087227414330216,0.39790575916230364,0.8064026889654041,1.3165743502343414,1.3684531059683311,194.87242461513435,conditional_timing_only,Не самостоятельный триггер: raw lift ниже 1 минимум на четырёх коридорах; условный same-week эффект можно использовать только как признак модели.
family_union,filter_rule,Сильное однодневное снижение,preregistered_family_union,all preregistered grid configurations; union of dates,UZS,1146.0,302,83,0.27483443708609273,0.39790575916230364,0.6907023353084699,1.1364673664993155,1.287454323995128,234.6560009395891,conditional_timing_only,Не самостоятельный триггер: raw lift ниже 1 минимум на четырёх коридорах; условный same-week эффект можно использовать только как признак модели.
family_union,reversal_from_low,Разворот вверх от минимума,preregistered_family_union,all preregistered grid configurations; union of dates,UZS,1146.0,1048,434,0.41412213740458015,0.39790575916230364,1.040754319003616,0.9859154929577465,4.467722289890378,143.1773481302905,exclude_trigger,Строгий lift ниже 1 как минимум на четырёх коридорах из пяти.
family_union,seasonality,Сезонность,preregistered_family_union,all preregistered grid configurations; union of dates,UZS,1146.0,105,46,0.4380952380952381,0.39790575916230364,1.1010025062656643,1.0454545454545454,0.4476248477466504,180.56682349296204,message_context_only,Результат неоднороден по коридорам; не использовать как самостоятельный триггер.
family_union,volatility_regime,Волатильность и режим,preregistered_family_union,all preregistered grid configurations; union of dates,UZS,1146.0,1146,456,0.39790575916230364,0.39790575916230364,1.0,1.0,4.8855054811205845,152.331354247277,message_context_only,Результат неоднороден по коридорам; не использовать как самостоятельный триггер.
family_union,level_percentile,Уровень: нижние проценты диапазона,preregistered_family_union,all preregistered grid configurations; union of dates,TJS,1146.0,421,138,0.32779097387173395,0.4214659685863874,0.7777400746521886,1.069767441860465,1.794762484774665,176.06963459258478,conditional_timing_only,Не самостоятельный триггер: raw lift ниже 1 минимум на четырёх коридорах; условный same-week эффект можно использовать только как признак модели.
family_union,momentum_streak,Моментум: N дней подряд вниз,preregistered_family_union,all preregistered grid configurations; union of dates,TJS,1146.0,289,90,0.31141868512110726,0.4214659685863874,0.7388940230823787,1.2744866650932263,1.2320341047503045,180.0264379612301,conditional_timing_only,Не самостоятельный триггер: raw lift ниже 1 минимум на четырёх коридорах; условный same-week эффект можно использовать только как признак модели.
family_union,filter_rule,Сильное однодневное снижение,preregistered_family_union,all preregistered grid configurations; union of dates,TJS,1146.0,251,68,0.27091633466135456,0.4214659685863874,0.6427952785132761,1.095596133190118,1.0700365408038977,235.6150835899315,conditional_timing_only,Не самостоятельный триггер: raw lift ниже 1 минимум на четырёх коридорах; условный same-week эффект можно использовать только как признак модели.
family_union,reversal_from_low,Разворот вверх от минимума,preregistered_family_union,all preregistered grid configurations; union of dates,TJS,1146.0,1075,464,0.4316279069767442,0.4214659685863874,1.0241109345659396,0.9924072291733504,4.582825822168087,138.75407805603786,exclude_trigger,Строгий lift ниже 1 как минимум на четырёх коридорах из пяти.
family_union,seasonality,Сезонность,preregistered_family_union,all preregistered grid configurations; union of dates,TJS,1146.0,114,56,0.49122807017543857,0.4214659685863874,1.1655225019069413,1.058934762054838,0.48599269183922045,161.986076858726,message_context_only,Результат неоднороден по коридорам; не использовать как самостоятельный триггер.
family_union,volatility_regime,Волатильность и режим,preregistered_family_union,all preregistered grid configurations; union of dates,TJS,1146.0,1146,483,0.4214659685863874,0.4214659685863874,1.0,1.0,4.8855054811205845,145.50051611611977,message_context_only,Результат неоднороден по коридорам; не использовать как самостоятельный триггер.
family_union,level_percentile,Уровень: нижние проценты диапазона,preregistered_family_union,all preregistered grid configurations; union of dates,KGS,1146.0,474,156,0.3291139240506329,0.39790575916230364,0.8271152564956695,1.034940291906236,2.020706455542022,160.75181181331382,conditional_timing_only,Не самостоятельный триггер: raw lift ниже 1 минимум на четырёх коридорах; условный same-week эффект можно использовать только как признак модели.
